title,company,location,description,skills,word_count,source
mid-level backend developer,meta,"austin, tx","meta is hiring a mid-level backend developer to join our team. responsibilities: - develop and maintain software applications using typescript, angular, express.js, mongodb - collaborate with cross-fu...","angular, mongodb, typescript",104,Realistic Sample
senior frontend developer,intel,"austin, tx","intel is hiring a senior frontend developer to join our team. responsibilities: - develop and maintain software applications using javascript, react, node.js, mongodb - collaborate with cross-function...","javascript, mongodb, node.js, react",104,Realistic Sample
senior frontend developer,microsoft,"austin, tx","microsoft is hiring a senior frontend developer to join our team. responsibilities: - develop and maintain software applications using go, kubernetes, grpc, gcp - collaborate with cross-functional tea...","gcp, kubernetes",104,Realistic Sample
mid-level devops developer,adobe,"austin, tx","adobe is hiring a mid-level devops developer to join our team. responsibilities: - develop and maintain software applications using typescript, angular, express.js, mongodb - collaborate with cross-fu...","angular, mongodb, typescript",104,Realistic Sample
junior full stack developer,salesforce,"austin, tx","salesforce is hiring a junior full stack developer to join our team. responsibilities: - develop and maintain software applications using javascript, react, node.js, mongodb - collaborate with cross-f...","javascript, mongodb, node.js, react",105,Realistic Sample
junior devops developer,twitter,"austin, tx","twitter is hiring a junior devops developer to join our team. responsibilities: - develop and maintain software applications using c, .net, sql server, azure - collaborate with cross-functional teams ...","azure, sql",105,Realistic Sample
mid-level devops developer,ibm,"seattle, wa","ibm is hiring a mid-level devops developer to join our team. responsibilities: - develop and maintain software applications using go, kubernetes, grpc, gcp - collaborate with cross-functional teams to...","gcp, kubernetes",104,Realistic Sample
mid-level devops developer,airbnb,"new york, ny","airbnb is hiring a mid-level devops developer to join our team. responsibilities: - develop and maintain software applications using python, flask, redis, docker - collaborate with cross-functional te...","docker, flask, python, redis",104,Realistic Sample
mid-level frontend developer,uber,"seattle, wa","uber is hiring a mid-level frontend developer to join our team. responsibilities: - develop and maintain software applications using python, django, postgresql, aws - collaborate with cross-functional...","aws, django, postgresql, python",104,Realistic Sample
junior backend developer,salesforce,"san francisco, ca","salesforce is hiring a junior backend developer to join our team. responsibilities: - develop and maintain software applications using typescript, angular, express.js, mongodb - collaborate with cross...","angular, mongodb, typescript",104,Realistic Sample
junior devops developer,oracle,"seattle, wa","oracle is hiring a junior devops developer to join our team. responsibilities: - develop and maintain software applications using ruby, rails, postgresql, heroku - collaborate with cross-functional te...",postgresql,104,Realistic Sample
junior devops developer,netflix,"new york, ny","netflix is hiring a junior devops developer to join our team. responsibilities: - develop and maintain software applications using typescript, angular, express.js, mongodb - collaborate with cross-fun...","angular, mongodb, typescript",104,Realistic Sample
junior backend developer,cisco,"seattle, wa","cisco is hiring a junior backend developer to join our team. responsibilities: - develop and maintain software applications using typescript, angular, express.js, mongodb - collaborate with cross-func...","angular, mongodb, typescript",104,Realistic Sample
junior frontend developer,uber,"austin, tx","uber is hiring a junior frontend developer to join our team. responsibilities: - develop and maintain software applications using ruby, rails, postgresql, heroku - collaborate with cross-functional te...",postgresql,104,Realistic Sample
senior full stack developer,spotify,"new york, ny","spotify is hiring a senior full stack developer to join our team. responsibilities: - develop and maintain software applications using ruby, rails, postgresql, heroku - collaborate with cross-function...",postgresql,105,Realistic Sample
senior frontend developer,uber,remote,"uber is hiring a senior frontend developer to join our team. responsibilities: - develop and maintain software applications using c, .net, sql server, azure - collaborate with cross-functional teams t...","azure, sql",105,Realistic Sample
mid-level frontend developer,spotify,"new york, ny","spotify is hiring a mid-level frontend developer to join our team. responsibilities: - develop and maintain software applications using python, django, postgresql, aws - collaborate with cross-functio...","aws, django, postgresql, python",104,Realistic Sample
junior full stack developer,airbnb,"san francisco, ca","airbnb is hiring a junior full stack developer to join our team. responsibilities: - develop and maintain software applications using ruby, rails, postgresql, heroku - collaborate with cross-functiona...",postgresql,105,Realistic Sample
junior frontend developer,twitter,"austin, tx","twitter is hiring a junior frontend developer to join our team. responsibilities: - develop and maintain software applications using python, flask, redis, docker - collaborate with cross-functional te...","docker, flask, python, redis",104,Realistic Sample
junior full stack developer,uber,remote,"uber is hiring a junior full stack developer to join our team. responsibilities: - develop and maintain software applications using go, kubernetes, grpc, gcp - collaborate with cross-functional teams ...","gcp, kubernetes",105,Realistic Sample
junior frontend developer,meta,"seattle, wa","meta is hiring a junior frontend developer to join our team. responsibilities: - develop and maintain software applications using python, django, postgresql, aws - collaborate with cross-functional te...","aws, django, postgresql, python",104,Realistic Sample
senior devops developer,twitter,"austin, tx","twitter is hiring a senior devops developer to join our team. responsibilities: - develop and maintain software applications using python, flask, redis, docker - collaborate with cross-functional team...","docker, flask, python, redis",104,Realistic Sample
junior full stack developer,twitter,"san francisco, ca","twitter is hiring a junior full stack developer to join our team. responsibilities: - develop and maintain software applications using python, flask, redis, docker - collaborate with cross-functional ...","docker, flask, python, redis",105,Realistic Sample
mid-level frontend developer,slack,remote,"slack is hiring a mid-level frontend developer to join our team. responsibilities: - develop and maintain software applications using javascript, react, node.js, mongodb - collaborate with cross-funct...","javascript, mongodb, node.js, react",104,Realistic Sample
senior full stack developer,ibm,"san francisco, ca","ibm is hiring a senior full stack developer to join our team. responsibilities: - develop and maintain software applications using python, flask, redis, docker - collaborate with cross-functional team...","docker, flask, python, redis",105,Realistic Sample
mid-level full stack developer,cisco,"seattle, wa","cisco is hiring a mid-level full stack developer to join our team. responsibilities: - develop and maintain software applications using c, .net, sql server, azure - collaborate with cross-functional t...","azure, sql",106,Realistic Sample
junior backend developer,oracle,"austin, tx","oracle is hiring a junior backend developer to join our team. responsibilities: - develop and maintain software applications using ruby, rails, postgresql, heroku - collaborate with cross-functional t...",postgresql,104,Realistic Sample
senior backend developer,uber,remote,"uber is hiring a senior backend developer to join our team. responsibilities: - develop and maintain software applications using java, spring boot, mysql, azure - collaborate with cross-functional tea...","azure, java, mysql, spring",105,Realistic Sample
mid-level devops developer,stripe,"austin, tx","stripe is hiring a mid-level devops developer to join our team. responsibilities: - develop and maintain software applications using javascript, react, node.js, mongodb - collaborate with cross-functi...","javascript, mongodb, node.js, react",104,Realistic Sample
